timestamp,datetime,ax,ay,az,gx,gy,gz,label,frame_id
1770475754.4986994,49:14.5,-6.123,7.47,-0.364,0.0521,0.0612,0.0029,NONE,147
1770475754.5059156,49:14.5,-6.106,7.541,-0.416,0.033,0.0412,0.0309,NONE,148
1770475754.5126257,49:14.5,-6.008,7.556,-0.378,0.0236,0.0278,0.0204,NONE,149
1770475754.519781,49:14.5,-5.953,7.565,-0.333,0.0217,0.0316,-0.0236,NONE,150
1770475754.526834,49:14.5,-5.969,7.45,-0.323,0.0285,0.0466,-0.0803,NONE,151
1770475754.5336366,49:14.5,-5.953,7.343,-0.318,0.0448,0.0577,-0.1348,NONE,152
1770475754.540785,49:14.5,-6.022,7.199,-0.285,0.0509,0.0711,-0.1548,NONE,153
1770475754.547621,49:14.5,-6.135,7.113,-0.23,0.0493,0.0641,-0.1203,NONE,154
1770475754.5546305,49:14.6,-6.202,7.089,-0.194,0.0529,0.042,-0.0195,NONE,155
1770475754.561676,49:14.6,-6.178,7.127,-0.225,0.0509,0.0145,0.0698,NONE,156
1770475754.5688121,49:14.6,-6.144,7.336,-0.105,0.038,-0.0035,0.118,NONE,157
1770475754.5758421,49:14.6,-6.178,7.482,-0.242,0.0242,-0.0168,0.124,NONE,158
1770475754.5828454,49:14.6,-6.182,7.635,-0.208,0.0024,-0.0226,0.0798,NONE,159
1770475754.5899875,49:14.6,-6.125,7.608,-0.223,-0.0039,-0.0052,-0.0189,NONE,160
1770475754.5967922,49:14.6,-6.101,7.41,-0.251,0.0031,0.0143,-0.1026,NONE,161
1770475754.6038465,49:14.6,-6.147,7.271,-0.325,0.0088,0.0265,-0.1633,NONE,162
1770475754.6108868,49:14.6,-6.292,7.092,-0.335,0.0172,0.014,-0.1299,NONE,163
1770475754.6177409,49:14.6,-6.283,6.917,-0.263,0.0256,-0.0091,-0.0482,NONE,164
1770475754.6248472,49:14.6,-6.261,6.915,-0.246,0.0079,-0.0278,0.0241,NONE,165
1770475754.6318913,49:14.6,-6.194,6.922,-0.141,0.0115,-0.0496,0.0778,NONE,166
1770475754.6393743,49:14.6,-6.166,7.005,-0.093,0.0229,-0.037,0.097,NONE,167
1770475754.645979,49:14.6,-6.182,7.127,-0.096,0.0472,-0.0257,0.0518,NONE,168
1770475754.6528745,49:14.7,-6.209,7.149,-0.105,0.04,-0.0229,-0.0001,NONE,169
1770475754.6601405,49:14.7,-6.319,7.163,0.012,0.0541,-0.0099,-0.0474,NONE,170
1770475754.6670022,49:14.7,-6.34,7.139,-0.024,0.0596,-0.0105,-0.0621,NONE,171
1770475754.6740909,49:14.7,-6.426,7.125,-0.057,0.0545,-0.0286,-0.0536,NONE,172
1770475754.680973,49:14.7,-6.453,7.13,-0.029,0.0489,-0.0554,-0.0169,NONE,173
1770475754.6879013,49:14.7,-6.376,7.139,-0.084,0.0301,-0.0891,0.0305,NONE,174
1770475754.6954317,49:14.7,-6.376,7.118,-0.05,0.0229,-0.1186,0.0797,NONE,175
1770475754.7018623,49:14.7,-6.338,7.163,-0.007,0.0488,-0.1103,0.1102,NONE,176
1770475754.7086604,49:14.7,-6.168,7.192,-0.077,0.0569,-0.0902,0.0819,NONE,177
1770475754.7160091,49:14.7,-6.178,7.23,-0.105,0.0497,-0.0642,-0.0059,NONE,178
1770475754.7229652,49:14.7,-6.292,7.199,-0.201,0.0449,-0.0418,-0.0645,NONE,179
1770475754.7300959,49:14.7,-6.431,7.18,-0.208,0.0328,-0.0328,-0.0485,NONE,180
1770475754.736917,49:14.7,-6.525,7.127,-0.199,0.0348,-0.0302,0.0049,NONE,181
1770475754.7437701,49:14.7,-6.407,7.221,-0.234,0.0332,-0.0333,0.0588,NONE,182
1770475754.7507918,49:14.8,-6.273,7.218,-0.251,0.0185,-0.0352,0.0722,NONE,183
1770475754.7579439,49:14.8,-6.247,7.238,-0.299,0.0125,-0.0192,0.0529,NONE,184
1770475754.7646413,49:14.8,-6.132,7.206,-0.34,0.0089,0.0037,0.0161,NONE,185
1770475754.7718039,49:14.8,-6.17,7.233,-0.34,0.0133,0.0169,-0.0164,NONE,186
1770475754.7787642,49:14.8,-6.192,7.183,-0.328,0.0209,0.0269,-0.0143,NONE,187
1770475754.786419,49:14.8,-6.24,7.19,-0.426,0.0201,0.0167,0.02,NONE,188
1770475754.7937603,49:14.8,-6.216,7.271,-0.407,0.0281,0.0091,0.048,NONE,189
1770475754.8005395,49:14.8,-6.07,7.214,-0.455,0.0129,0.0077,0.0432,NONE,190
1770475754.8076036,49:14.8,-6.077,7.18,-0.359,0.0113,0.0133,0.0237,NONE,191
1770475754.8146083,49:14.8,-6.096,7.104,-0.431,0.0226,0.01,0.0072,NONE,192
1770475754.8216045,49:14.8,-6.077,7.087,-0.282,0.0336,0.0216,0.0003,NONE,193
1770475754.8287413,49:14.8,-6.089,7.144,-0.28,0.04,0.0256,-0.0189,NONE,194
1770475754.8357189,49:14.8,-5.998,7.142,-0.285,0.0336,0.035,-0.0079,NONE,195
1770475754.8426836,49:14.8,-6.092,7.214,-0.268,0.0308,0.0288,0.0024,NONE,196
1770475754.849906,49:14.8,-5.998,7.082,-0.34,0.055,-0.0004,0.0064,NONE,197
1770475754.8571544,49:14.9,-5.886,7.058,-0.321,0.0025,-0.0333,0.0008,NONE,198
1770475754.8638597,49:14.9,-6.206,7.486,-0.065,0.049,-0.0053,-0.0621,NONE,199
1770475754.870786,49:14.9,-6.084,7.113,-0.141,0.0366,0.028,-0.0392,NONE,200
1770475754.877878,49:14.9,-6.036,7.161,-0.23,0.0119,0.0057,-0.0671,NONE,201
